[2024-12-02 22:39:46,800] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:39:46,832] INFO: Driver [C:\Users\satya\.wdm\drivers\chromedriver\win64\131.0.6778.85\chromedriver-win32/chromedriver.exe] found in cache
[2024-12-02 22:39:48,022] INFO: ChromeDriver setup complete.
[2024-12-02 22:39:48,044] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 22:40:02,784] INFO: HWID 'ssssss' added to whitelist.
[2024-12-02 23:09:42,386] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:09:42,418] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:12:23,160] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:12:23,184] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:21:59,617] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:21:59,646] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:22:54,301] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:22:54,333] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:25:10,659] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:25:10,682] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:25:20,322] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:25:20,349] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:26:45,365] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:26:45,393] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:26:49,177] INFO: HWID 'sss' added to whitelist.
[2024-12-02 23:27:49,623] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:27:49,648] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:28:07,531] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:28:07,561] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:30:35,734] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 23:30:35,788] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 23:32:13,295] INFO: ViGEmBus driver is installed and operational.
